Song,Artist
Starboy,The Weeknd
Can't Feel My Face,The Weeknd
Cant Feel My Face,The Weeknd
Closer,The Chainsmokers
Slide,Calvin Harris
Paris,The Chainsmokers
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa"
Tennis Court,Lorde
Champagne Supernova,Oasis
17,MK
New Rules,Dua Lipa
Be the One,Dua Lipa
Hotline Bling,Drake
Nice For What,Drake
"Hold On, We're Going Home","Drake, Majid Jordan"
Know Yourself,Drake
The Hills,The Weeknd
Doing It (feat. Rita Ora),"Charli XCX, Rita Ora"
Sheep,Mt. Joy
This Must Be The Place,Sure Sure
Saltwater,Geowulf
Somersault,"Zero 7, Sia"
Feel It Still,Portugal. The Man
Juice,Chromeo
Look On Down From The Bridge,Mazzy Star
Gold Rush,Death Cab for Cutie
Little Secrets,Passion Pit
Take a Walk,Passion Pit
Carried Away,Passion Pit
The Reeling,Passion Pit
Speak Up,POP ETC
All Day Day Light,The Morning Benders
"Music Is My Hot, Hot Sex",CSS
So Young,Portugal. The Man
Don't Hurt Me,"Mustard, Nicki Minaj, Jeremih"
Young Folks,Peter Bjorn and John
Four Out Of Five,Arctic Monkeys
Unbearably White,Vampire Weekend
bad guy,Billie Eilish
Holocene,Bon Iver
Avant Gardener,Courtney Barnett
Blinding Lights,The Weeknd
Do I Wanna Know?,Arctic Monkeys
Every Breath You Take,Karen Souza
Valerie,Karen Souza
Slide (feat. Frank Ocean & Migos),Calvin Harris
One Kiss (with Dua Lipa),Calvin Harris
Four Out of Five,Arctic Monkeys
Nice for What,Drake
Doing It (feat. Rita Ora),Charli XCX
Somersault,Zero 7
"Hold On, Were Going Home",Drake
Dont Hurt Me,Mustard
Good as Hell (feat. Ariana Grande) - Remix,Lizzo
7 rings,Ariana Grande
"thank u, next",Ariana Grande
Aint No Sunshine,Karen Souza
Cant Help Falling in Love,Karen Souza
Get Lucky,Karen Souza
MY ONE AND ONLY LOVE,Karen Souza
everything i wanted,Billie Eilish
"break up with your girlfriend, im bored",Ariana Grande
no tears left to cry,Ariana Grande
Creep,Karen Souza
ocean eyes,Billie Eilish
All The Time,Zara Larsson
Do You Really Want To Hurt Me,Karen Souza
Dont Let the Sun Go Down on Me,Karen Souza
You Need to Calm Down,Taylor Swift
Language of Love,Karen Souza
Wicked Game,Karen Souza
I Fall in Love Too Easily,Karen Souza
Paris,Karen Souza
Im Beginning to See the Light,Karen Souza
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande
Everyday Is Like Sunday,Karen Souza
Angel Eyes,Karen Souza
In the Blink of an Eye,Karen Souza
Someone Brought Me Wine,Karen Souza
You Got That Something,Karen Souza
Santa Tell Me,Ariana Grande
Everybody Hurts,Karen Souza
Feels So Good,Karen Souza
Im Not in Love,Karen Souza
In Between Days,Karen Souza
Never Tear Us Apart,Karen Souza
Rhythm and Blues,Karen Souza
Skin Trade,Karen Souza
This Masquerade,Karen Souza
Walk on the Wild Side,Karen Souza
The Man,Taylor Swift
Santa Baby,Ariana Grande
Corcovado (Quiet Nights of Quiet Stars),Karen Souza
Dreams,Karen Souza
Everybody Knows,Karen Souza
Everythings Not Lost,Karen Souza
Its Gonna Happen Tonight,Karen Souza
Kids,Karen Souza
Shape of My Heart,Karen Souza
The Way It Is,Karen Souza
Think For A Minute,Karen Souza
Lover (Remix) [feat. Shawn Mendes],Taylor Swift
God is a woman,Ariana Grande
Into You,Ariana Grande
raindrops (an angel cried) - Live,Ariana Grande
Autumn Leaves / Dance Me to the End of Love,Karen Souza
Cry me a river,Karen Souza
Delectable You,Karen Souza
Have You Ever Seen the Rain? - Live in Japan,Karen Souza
It Will All Work Out,Karen Souza
Love Is Not Fair,Karen Souza
My Foolish Heart,Karen Souza
Never Gonna Give You Up,Karen Souza
The Sound of Violence,Karen Souza
